Sensor,Pressao,Wavelet,Status_IA,Target,Status_Sistema
ESP_01,6.040053,-0.7354,,0,NORMAL
ESP_04,6.214696,-0.8589,,0,NORMAL
ESP_01,6.033264,-0.7306,,0,NORMAL
ESP_04,6.206715,-0.8533,,0,NORMAL
ESP_01,6.026968,-0.7262,,0,NORMAL
ESP_04,6.198939,-0.8478,,0,NORMAL
ESP_01,6.028934,-0.7276,,0,NORMAL
ESP_04,6.189116,-0.8408,,0,NORMAL
ESP_01,6.030214,-0.7285,,0,NORMAL
ESP_04,6.180726,-0.8349,,0,NORMAL
ESP_01,6.046647,-0.7401,,0,NORMAL
ESP_04,6.224314,-0.8657,,0,NORMAL
ESP_01,6.039857,-0.7353,,0,NORMAL
ESP_04,6.21705,-0.8606,,0,NORMAL
ESP_01,6.033461,-0.7308,,0,NORMAL
ESP_04,6.208455,-0.8545,,0,NORMAL
ESP_01,6.024803,-0.7246,,0,NORMAL
ESP_04,6.185432,-0.8382,,0,NORMAL
ESP_01,6.029525,-0.728,,0,NORMAL
ESP_04,6.190652,-0.8419,,0,NORMAL
ESP_01,6.05688,-0.7473,,0,NORMAL
ESP_04,6.181647,-0.8356,,0,NORMAL
ESP_01,6.05196,-0.7438,,0,NORMAL
ESP_04,6.226769,-0.8675,,0,NORMAL
ESP_01,6.044875,-0.7388,,0,NORMAL
ESP_04,6.218584,-0.8617,,0,NORMAL
ESP_01,6.036708,-0.7331,,0,NORMAL
ESP_04,6.209886,-0.8555,,0,NORMAL
ESP_01,6.02864,-0.7274,,0,NORMAL
ESP_04,6.199553,-0.8482,,0,NORMAL
ESP_01,6.030214,-0.7285,,0,NORMAL
ESP_04,6.191879,-0.8428,,0,NORMAL
ESP_01,6.057961,-0.7481,,0,NORMAL
ESP_04,6.183693,-0.837,,0,NORMAL
ESP_01,6.027262,-0.7264,,0,NORMAL
ESP_04,6.181545,-0.8355,,0,NORMAL
ESP_01,6.043793,-0.7381,,0,NORMAL
ESP_04,6.219403,-0.8622,,0,NORMAL
ESP_01,6.035626,-0.7323,,0,NORMAL
ESP_04,6.20825,-0.8544,,0,NORMAL
ESP_01,6.029329,-0.7278,,0,NORMAL
ESP_04,6.180931,-0.835,,0,NORMAL
ESP_01,6.03356,-0.7308,,0,NORMAL
ESP_04,6.191981,-0.8429,,0,NORMAL
ESP_01,6.060717,-0.75,,0,NORMAL
ESP_04,6.184307,-0.8374,,0,NORMAL
ESP_01,6.049893,-0.7424,,0,NORMAL
ESP_04,6.228816,-0.8689,,0,NORMAL
ESP_01,6.042907,-0.7374,,0,NORMAL
ESP_04,6.219812,-0.8625,,0,NORMAL
ESP_01,6.035724,-0.7324,,0,NORMAL
ESP_04,6.210604,-0.856,,0,NORMAL
ESP_01,6.029329,-0.7278,,0,NORMAL
ESP_04,6.202213,-0.8501,,0,NORMAL
ESP_01,6.066423,-0.7541,,0,NORMAL
ESP_04,6.193413,-0.8439,,0,NORMAL
ESP_01,6.060323,-0.7498,,0,NORMAL
ESP_04,6.18441,-0.8375,,0,NORMAL
ESP_01,6.050188,-0.7426,,0,NORMAL
ESP_04,6.181135,-0.8352,,0,NORMAL
ESP_01,6.046154,-0.7397,,0,NORMAL
ESP_04,6.218993,-0.862,,0,NORMAL
ESP_01,6.037397,-0.7336,,0,NORMAL
ESP_04,6.210604,-0.856,,0,NORMAL
ESP_01,6.028738,-0.7274,,0,NORMAL
ESP_04,6.20252,-0.8503,,0,NORMAL
ESP_01,6.02923,-0.7278,,0,NORMAL
ESP_04,6.195255,-0.8452,,0,NORMAL
ESP_01,6.060323,-0.7498,,0,NORMAL
ESP_04,6.184819,-0.8378,,0,NORMAL
ESP_01,6.032674,-0.7302,,0,NORMAL
ESP_04,6.181647,-0.8356,,0,NORMAL
ESP_01,6.046547,-0.74,,0,NORMAL
ESP_04,6.221347,-0.8636,,0,NORMAL
ESP_01,6.038774,-0.7345,,0,NORMAL
ESP_04,6.186047,-0.8387,,0,NORMAL
ESP_01,6.02982,-0.7282,,0,NORMAL
ESP_04,6.204874,-0.852,,0,NORMAL
ESP_01,6.028836,-0.7275,,0,NORMAL
ESP_04,6.196074,-0.8458,,0,NORMAL
ESP_01,6.061504,-0.7506,,0,NORMAL
ESP_04,6.188502,-0.8404,,0,NORMAL
ESP_01,6.054222,-0.7454,,0,NORMAL
ESP_04,6.181135,-0.8352,,0,NORMAL
ESP_01,6.045958,-0.7396,,0,NORMAL
ESP_04,6.225439,-0.8665,,0,NORMAL
ESP_01,6.039759,-0.7352,,0,NORMAL
ESP_04,6.21531,-0.8594,,0,NORMAL
ESP_01,6.032281,-0.7299,,0,NORMAL
ESP_04,6.207636,-0.8539,,0,NORMAL
ESP_01,6.026869,-0.7261,,0,NORMAL
ESP_04,6.198427,-0.8474,,0,NORMAL
ESP_01,6.032575,-0.7301,,0,NORMAL
ESP_04,6.192083,-0.8429,,0,NORMAL
ESP_01,6.054124,-0.7454,,0,NORMAL
ESP_04,6.181033,-0.8351,,0,NORMAL
ESP_01,6.047925,-0.741,,0,NORMAL
ESP_04,6.22636,-0.8672,,0,NORMAL
ESP_01,6.039562,-0.7351,,0,NORMAL
ESP_04,6.216947,-0.8605,,0,NORMAL
ESP_01,6.026968,-0.7262,,0,NORMAL
ESP_04,6.207329,-0.8537,,0,NORMAL
ESP_01,6.027558,-0.7266,,0,NORMAL
ESP_04,6.200984,-0.8492,,0,NORMAL
ESP_01,6.060421,-0.7498,,0,NORMAL
ESP_04,6.190958,-0.8421,,0,NORMAL
ESP_01,6.055895,-0.7466,,0,NORMAL
ESP_04,6.181135,-0.8352,,0,NORMAL
ESP_01,6.049893,-0.7424,,0,NORMAL
ESP_04,6.228816,-0.8689,,0,NORMAL
ESP_01,6.042711,-0.7373,,0,NORMAL
ESP_04,6.217765,-0.8611,,0,NORMAL
ESP_01,6.036512,-0.7329,,0,NORMAL
ESP_04,6.209682,-0.8554,,0,NORMAL
ESP_01,6.028344,-0.7271,,0,NORMAL
ESP_04,6.200473,-0.8489,,0,NORMAL
ESP_01,6.063078,-0.7517,,0,NORMAL
ESP_04,6.192697,-0.8434,,0,NORMAL
ESP_01,6.05678,-0.7473,,0,NORMAL
ESP_04,6.181545,-0.8355,,0,NORMAL
ESP_01,6.051566,-0.7436,,0,NORMAL
ESP_04,6.230146,-0.8698,,0,NORMAL
ESP_01,6.041529,-0.7365,,0,NORMAL
